train/reward,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/std
3.5711713,3,2048,566,1,,,,,,,,,,,
-0.5441404,7,4096,542,2,-0.03479241618770175,0.228515625,0.018091362,10.416796359419823,3.387746572494507,-38.36087293624878,0.2,-0.03132820129394531,0.0003,10,1.0029579401016235
-0.7163008,11,6144,537,3,-0.02321613109379541,0.17099609375,0.014527142,10.844646751880646,4.880705833435059,-38.38468599319458,0.2,0.05102348327636719,0.0003,20,1.00254225730896
-0.847078,15,8192,537,4,-0.016517763765295967,0.213037109375,0.017748903,8.223754820227622,3.239570379257202,-38.40692336559296,0.2,0.10736477375030518,0.0003,30,1.0043271780014038
-2.0495338,19,10240,535,5,-0.019779535481939094,0.193212890625,0.0148714585,7.970064133405685,3.8447229862213135,-38.43243489265442,0.2,0.11663466691970825,0.0003,40,1.0048867464065552
-0.30035892,23,12288,533,6,-0.018445933423936366,0.22109375,0.017920474,8.571018514037132,3.660196542739868,-38.44764273166656,0.2,0.18413758277893066,0.0003,50,1.0057189464569092
1.4571729,26,14336,532,7,-0.02104892412899062,0.21318359375,0.017084159,7.116580963134766,3.4233410358428955,-38.481968235969546,0.2,0.2484966516494751,0.0003,60,1.0068219900131226
1.1727542,30,16384,533,8,-0.01770638733287342,0.234912109375,0.015931265,7.2640780985355375,2.995814323425293,-38.51192255020142,0.2,0.27889907360076904,0.0003,70,1.0082669258117676
3.7055905,34,18432,532,9,-0.017920881253667177,0.22451171875,0.017710939,7.206848698854446,4.009310245513916,-38.56082062721252,0.2,0.3563615083694458,0.0003,80,1.0104968547821045
0.69370246,38,20480,531,10,-0.018596050489577465,0.275439453125,0.019779548,7.976287645101547,3.6366822719573975,-38.59790847301483,0.2,0.3822287321090698,0.0003,90,1.0111713409423828
2.3729393,42,22528,527,11,-0.018225856608478353,0.259326171875,0.019624311,8.519556033611298,3.1330978870391846,-38.61410112380982,0.2,0.33424246311187744,0.0003,100,1.0118516683578491
0.44848046,46,24576,528,12,-0.02212920164456591,0.250634765625,0.016496614,8.546599569916726,3.695681571960449,-38.63846778869629,0.2,0.32055699825286865,0.0003,110,1.012543797492981
0.7086081,50,26624,527,13,-0.009312117428635247,0.226904296875,0.020464318,7.526177990436554,3.525064468383789,-38.63306453227997,0.2,0.33642029762268066,0.0003,120,1.0115936994552612
-0.95273536,54,28672,527,14,-0.01842749310308136,0.2078125,0.015784342,9.405032277107239,3.989161491394043,-38.619189167022704,0.2,0.38348817825317383,0.0003,130,1.0115361213684082
-0.7682041,58,30720,528,15,-0.01552912054467015,0.172705078125,0.015234323,8.855544218420983,3.764702796936035,-38.61419427394867,0.2,0.45357370376586914,0.0003,140,1.0115509033203125
0.11170709,61,32768,528,16,-0.010738638980546967,0.296044921875,0.023822304,11.320718905329704,6.784184455871582,-38.62838432788849,0.2,0.3898393511772156,0.0003,150,1.0126144886016846
-0.14846145,65,34816,529,17,-0.014926888264017179,0.204296875,0.017266108,8.75660131573677,4.407667636871338,-38.637374091148374,0.2,0.43558913469314575,0.0003,160,1.0119059085845947
0.62626594,69,36864,529,18,-0.018279520771466197,0.243994140625,0.019519784,8.284852162003517,3.2548911571502686,-38.64637188911438,0.2,0.5358978509902954,0.0003,170,1.013440728187561
1.2721945,73,38912,530,19,-0.010644668771419674,0.28876953125,0.0246962,9.090159097313881,3.980821132659912,-38.679331111907956,0.2,0.4501689076423645,0.0003,180,1.0145504474639893
-0.12958391,77,40960,530,20,-0.015026477235369384,0.225048828125,0.01958401,12.04186115860939,5.893333911895752,-38.714013242721556,0.2,0.5298549234867096,0.0003,190,1.0159316062927246
-1.2308166,80,43008,531,21,-0.010836607270175592,0.2494140625,0.026764903,13.670760923624039,5.9184675216674805,-38.749818897247316,0.2,0.5292680561542511,0.0003,200,1.0172770023345947
0.5587051,84,45056,531,22,-0.01465400536544621,0.23203125,0.026527911,15.281338918209077,6.465693950653076,-38.77436969280243,0.2,0.47801947593688965,0.0003,210,1.0183054208755493
1.6126852,88,47104,532,23,-0.014253937063040211,0.26328125,0.027763754,22.976697659492494,8.338168144226074,-38.8227872133255,0.2,0.5151090025901794,0.0003,220,1.0206222534179688
2.280815,92,49152,532,24,-0.016905416903318836,0.2283203125,0.018700644,27.68097624182701,11.576037406921387,-38.84986658096314,0.2,0.4850924611091614,0.0003,230,1.0204006433486938
0.6376321,96,51200,532,25,-0.011528774601174518,0.214013671875,0.020504566,27.160401976108552,11.211209297180176,-38.86448800563812,0.2,0.5374451577663422,0.0003,240,1.021673321723938
-2.836181,100,53248,531,26,-0.007993128115776927,0.17001953125,0.013609196,35.48818410634995,18.380531311035156,-38.883449292182924,0.2,0.5367912948131561,0.0003,250,1.021759271621704
2.43214,103,55296,532,27,-0.012562995951157063,0.15986328125,0.015759483,35.732513952255246,18.091562271118164,-38.897183656692505,0.2,0.6326243579387665,0.0003,260,1.0229687690734863
1.3617666,107,57344,531,28,-0.009591670070949476,0.1865234375,0.018909797,35.19979349374771,15.798870086669922,-38.93377325534821,0.2,0.5813482999801636,0.0003,270,1.0246754884719849
2.3849907,111,59392,531,29,-0.009503768075956032,0.250439453125,0.021009795,34.677760052680966,10.521722793579102,-38.97945318222046,0.2,0.6151503026485443,0.0003,280,1.0262583494186401
