,0
Annual return,0.03586551957197437
Cumulative returns,0.026636747009606054
Annual volatility,0.3662402787426107
Sharpe ratio,0.2795920657514502
Calmar ratio,0.1169979304690185
Stability,0.08766251307647764
Max drawdown,-0.30654832464298754
Omega ratio,1.0577563623740365
Sortino ratio,0.39227106814539053
Skew,
Kurtosis,
Tail ratio,0.9986703768445231
Daily value at risk,-0.04573559720507955
