,0
Annual return,-0.6053408839555394
Cumulative returns,-0.5002314795299994
Annual volatility,0.9624518396836541
Sharpe ratio,-0.4896281947766398
Calmar ratio,-0.8350710483330539
Stability,0.28534825470731645
Max drawdown,-0.7248974625140033
Omega ratio,0.9078483489976105
Sortino ratio,-0.7105226880799802
Skew,
Kurtosis,
Tail ratio,1.504886932562514
Daily value at risk,-0.12312754824197786
