,0
Annual return,-0.6084221759031411
Cumulative returns,-0.5031453395399992
Annual volatility,0.9650619452169636
Sharpe ratio,-0.4936438788869947
Calmar ratio,-0.8376109118802093
Stability,0.28800330675812846
Max drawdown,-0.7263780441176421
Omega ratio,0.907115883630012
Sortino ratio,-0.7156909750908093
Skew,
Kurtosis,
Tail ratio,1.4999670906567943
Daily value at risk,-0.12347684049126602
