,0
Annual return,-0.13859589259843852
Cumulative returns,-0.10533114506000008
Annual volatility,0.3933861011301136
Sharpe ratio,-0.18524709050531923
Calmar ratio,-0.40468773550904846
Stability,0.022931351475704444
Max drawdown,-0.3424761376178143
Omega ratio,0.9639284583539247
Sortino ratio,-0.2591251988862593
Skew,
Kurtosis,
Tail ratio,1.0491571432873839
Daily value at risk,-0.04985117120839132
