train/reward,train/entropy_loss,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_loss,time/time_elapsed,train/learning_rate,train/n_updates,train/value_loss,train/std
-0.17746784,-38.301483154296875,1000,498,100,-0.1230463981628418,146.4235076904297,2,0.0001,99,17.489524841308594,0.9996402263641357
-1.624078,-38.306556701660156,2000,500,200,-0.1804264783859253,56.654640197753906,3,0.0001,199,3.1959171295166016,0.999854564666748
-1.3410761,-38.31996536254883,3000,501,300,0.11799132823944092,57.79738235473633,5,0.0001,299,3.078897476196289,1.0003159046173096
1.5338949,-38.31171417236328,4000,501,400,-0.31296026706695557,56.0982780456543,7,0.0001,399,2.6268489360809326,1.0000263452529907
1.8639758,-38.314186096191406,5000,503,500,-0.16357171535491943,55.166378021240234,9,0.0001,499,3.4410293102264404,1.0000702142715454
0.6249903,-38.322181701660156,6000,504,600,-0.06306815147399902,86.23432922363281,11,0.0001,599,5.762277126312256,1.0004011392593384
0.5039826,-38.31899642944336,7000,504,700,-0.06043219566345215,-41.50282287597656,13,0.0001,699,1.5886058807373047,1.0002678632736206
-0.84625757,-38.3162841796875,8000,504,800,-0.1270904541015625,13.825581550598145,15,0.0001,799,1.841819405555725,1.0001516342163086
-0.3743881,-38.313140869140625,9000,505,900,0.18032324314117432,135.3997039794922,17,0.0001,899,15.564513206481934,1.0000725984573364
-0.7592292,-38.31467819213867,10000,505,1000,-0.10735487937927246,58.2140007019043,19,0.0001,999,3.9278600215911865,1.000124454498291
0.6514095,-38.32002258300781,11000,506,1100,-0.20377850532531738,111.8001708984375,21,0.0001,1099,9.960474967956543,1.0003101825714111
-2.6683047,-38.31831359863281,12000,506,1200,-0.5864162445068359,42.05222702026367,23,0.0001,1199,1.5092201232910156,1.0002657175064087
-0.80324185,-38.31655502319336,13000,507,1300,-0.21369969844818115,3.3166561126708984,25,0.0001,1299,0.38266101479530334,1.0002024173736572
0.24051301,-38.31544494628906,14000,507,1400,-0.03128528594970703,43.164588928222656,27,0.0001,1399,2.913996696472168,1.0001676082611084
0.25042626,-38.318519592285156,15000,507,1500,-0.079079270362854,40.10422897338867,29,0.0001,1499,4.598533630371094,1.0002720355987549
0.27622178,-38.31633377075195,16000,508,1600,-0.060225844383239746,102.3734359741211,31,0.0001,1599,9.836617469787598,1.0002098083496094
0.16036807,-38.32001495361328,17000,508,1700,-0.10211467742919922,96.16490936279297,33,0.0001,1699,7.5245041847229,1.0003724098205566
-0.12451654,-38.320064544677734,18000,508,1800,0.14153558015823364,0.6140884757041931,35,0.0001,1799,4.497659206390381,1.0003279447555542
-0.9623242,-38.313331604003906,19000,508,1900,-0.10793697834014893,-171.86529541015625,37,0.0001,1899,21.457530975341797,1.0000489950180054
0.04977903,-38.30562973022461,20000,508,2000,0.0912277102470398,-91.5968246459961,39,0.0001,1999,6.216729164123535,0.9998119473457336
1.894621,-38.3001708984375,21000,508,2100,0.33777958154678345,66.85188293457031,41,0.0001,2099,3.615225315093994,0.9995987415313721
0.21721646,-38.30050277709961,22000,508,2200,-0.4045673608779907,12.71522045135498,43,0.0001,2199,0.6354934573173523,0.9995987415313721
-0.36013275,-38.29484176635742,23000,508,2300,0.05110245943069458,-26.182554244995117,45,0.0001,2299,1.272741675376892,0.9994072318077087
-0.2512597,-38.292884826660156,24000,508,2400,-0.21053743362426758,-47.88319396972656,47,0.0001,2399,3.799896240234375,0.9993141889572144
-0.79334676,-38.294857025146484,25000,508,2500,-0.31775593757629395,-67.9140396118164,49,0.0001,2499,4.212012767791748,0.9994148015975952
1.2617676,-38.29917907714844,26000,508,2600,0.19090813398361206,-14.157856941223145,51,0.0001,2599,1.4796684980392456,0.9995594620704651
-1.4409633,-38.299373626708984,27000,509,2700,-0.00501561164855957,2.7871017456054688,53,0.0001,2699,0.39407679438591003,0.9995794296264648
-0.503951,-38.297481536865234,28000,508,2800,0.08986592292785645,54.1885871887207,55,0.0001,2799,2.300656795501709,0.9995871782302856
0.9504796,-38.315277099609375,29000,509,2900,0.04758948087692261,22.221866607666016,56,0.0001,2899,1.5560754537582397,1.000171184539795
0.729554,-38.307464599609375,30000,509,3000,0.20121115446090698,-65.92813873291016,58,0.0001,2999,3.551689624786377,0.999871551990509
-0.10271534,-38.30524826049805,31000,509,3100,0.11883604526519775,-46.22200393676758,60,0.0001,3099,2.540764331817627,0.9998189210891724
0.6226205,-38.280792236328125,32000,509,3200,0.23663002252578735,14.389678955078125,62,0.0001,3199,0.4280489385128021,0.9988682270050049
-0.37970525,-38.283565521240234,33000,509,3300,0.05173897743225098,2.4584157466888428,64,0.0001,3299,0.5949786305427551,0.9989699125289917
-0.350868,-38.27925109863281,34000,509,3400,-0.5943857431411743,-63.936824798583984,66,0.0001,3399,2.6890759468078613,0.9988013505935669
0.18820953,-38.294464111328125,35000,509,3500,-0.14040827751159668,17.832233428955078,68,0.0001,3499,0.7833012938499451,0.999394953250885
-0.7674932,-38.2935905456543,36000,509,3600,-0.19542598724365234,40.0515022277832,70,0.0001,3599,4.310143947601318,0.9993386268615723
0.47834584,-38.29743957519531,37000,509,3700,0.08289676904678345,85.21187591552734,72,0.0001,3699,5.941267013549805,0.9995083212852478
0.08867963,-38.30351257324219,38000,509,3800,-0.025983452796936035,-89.5092544555664,74,0.0001,3799,7.689109802246094,0.9997914433479309
0.0389904,-38.30660629272461,39000,510,3900,0.026089131832122803,52.18474197387695,76,0.0001,3899,2.3982198238372803,0.9998579621315002
